#TYPE Selected.System.Management.Automation.PSCustomObject
"$_.Properties.displayName","ResourceId","$_.Properties.description"
"[Preview]: Monitor missing Endpoint Protection in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/af6cd1bd-1635-48cb-bde7-5b15693900b9","Servers without an installed Endpoint Protection agent will be monitored by Azure Security Center as recommendations"
"[Preview]: Monitor unaudited SQL database in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/af8051bf-258b-44e2-a2bf-165330459f9d","SQL servers and databases which doesn't have SQL auditing turned on will be monitored by Azure Security Center as recommendations"
"[Preview]: Monitor possible network Just In Time (JIT) access in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/b0f33259-77d7-4c9e-aac6-3aabcfae693c","Possible network Just In Time (JIT) access will be monitored by Azure Security Center as recommendations"
"[Preview]: Audit Linux VM /etc/passwd file permissions are set to 0644","/providers/Microsoft.Authorization/policyDefinitions/b18175dd-c599-4c64-83ba-bb018a06d35b","This security setting verifies /etc/passwd file permissions are set to 0644 to prevent unauthorized changes that could allow access to the server."
"Audit authorization rules on Event Hub namespaces","/providers/Microsoft.Authorization/policyDefinitions/b278e460-7cfc-4451-8294-cccc40a940d7","Event Hub clients should not use a namespace level access policy that provides access to all queues and topics in a namespace. To align with the least privilege security model, you shoud create access policies at the entity level for queues and topics to provide access to only the specific entity"
"[Preview]: Deploy VM extension to audit web servers inside Windows VMs must use TLS minimum version 1.1 encryption","/providers/Microsoft.Authorization/policyDefinitions/b2fc8f91-866d-4434-9089-5ebfe38d6fd8","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to audit instances of Internet Information Services (IIS) running inside Windows virtual machines, to verify that TLS minimum version 1.1 is used for encryption."
"Audit enabling of diagnostic logs for Search service","/providers/Microsoft.Authorization/policyDefinitions/b4330a05-a843-4bc8-bf9a-cacce50c67f4","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"[Preview]: Audit Web Sockets state for an API App","/providers/Microsoft.Authorization/policyDefinitions/b48334a4-911b-4084-b1ab-3e6a4e50b951","The Web Sockets protocol is vulnerable to different types of security threats. Use of Web Sockets within an API app must be carefully reviewed."
"Audit usage of Azure Active Directory for client authentication in Service Fabric","/providers/Microsoft.Authorization/policyDefinitions/b54ed75b-3e1a-44ac-a333-05ba39b99ff0","Audit usage of client authentication only via Azure Active Directory in Service Fabric"
"[Preview]: Audit API Applications that are not using latest supported Python Framework","/providers/Microsoft.Authorization/policyDefinitions/bc0378bb-d7ab-4614-a0f6-5a6e3f02d644","Use the latest supported Python version for the latest security classes. Using older classes and types can make your application vulnerable."
"[Preview]: Audit Web Applications that are not using latest supported Java Framework","/providers/Microsoft.Authorization/policyDefinitions/be0a7681-bed4-48dc-9ff3-f0171ee170b6","Use the latest supported Java version for the latest security classes. Using older classes and types can make your application vulnerable."
"Allow resource creation only in Asia data centers","/providers/Microsoft.Authorization/policyDefinitions/c1b9cbed-08e3-427d-b9ce-7c535b1e9b94","Allows resource creation in the following locations only: East Asia, Southeast Asia, West India, South India, Central India, Japan East, Japan West"
"[Preview]: Audit Linux VM accounts with no passwords","/providers/Microsoft.Authorization/policyDefinitions/c40c9087-1981-4e73-9f53-39743eda9d05","This security setting verifies there are no accounts without passwords."
"[Preview]: Audit HTTPS only access for an API App","/providers/Microsoft.Authorization/policyDefinitions/c85538c1-b527-4ce4-bdb4-1dabcb3fd90d","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks."
"Audit enabling of diagnostic logs in Data Lake Analytics","/providers/Microsoft.Authorization/policyDefinitions/c95c74d9-38fe-4f0d-af86-0c7d626a315c","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"Apply Diagnostic Settings for Network Security Groups","/providers/Microsoft.Authorization/policyDefinitions/c9c29499-c1d1-4195-99bd-2ec9e3a9dc89","This policy automatically deploys diagnostic settings to network security groups."
"[Preview]: Audit remote debugging state for a Web Application","/providers/Microsoft.Authorization/policyDefinitions/cb510bfd-1cba-4d9f-a230-cb0976f4bb71","Remote debugging requires inbound ports to be opened on a web application.  Remote debugging should be turned off."
"Allowed virtual machine SKUs","/providers/Microsoft.Authorization/policyDefinitions/cccc23c7-8427-4f53-ad12-b6a63eb452b3","This policy enables you to specify a set of virtual machine SKUs that your organization can deploy."
"Allow resource creation if 'department' tag set","/providers/Microsoft.Authorization/policyDefinitions/cd8dc879-a2ae-43c3-8211-1877c5755064","Allows resource creation only if the 'department' tag is set"
"[Preview]: Audit Windows VM should not allow previous 24 passwords","/providers/Microsoft.Authorization/policyDefinitions/cdbf72d9-ac9c-4026-8a3a-491a5ac59293","This security setting determines the number of unique new passwords that have to be associated with a user account before an old password can be reused."
"Audit enabling of diagnostic logs in Key Vault","/providers/Microsoft.Authorization/policyDefinitions/cf820ca0-f99e-4f3e-84fb-66e913812d21","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"[Preview]: Audit Function Apps that are not using custom domains","/providers/Microsoft.Authorization/policyDefinitions/d1cb47db-b7a1-4c46-814e-aad1c0e84f3c","Use of custom domains protects a Function app from common attacks such as phishing and other DNS-related attacks."
"[Preview]: Audit Web Applications that are not using custom domains","/providers/Microsoft.Authorization/policyDefinitions/dd2ea520-6b06-45c3-806e-ea297c23e06a","Use of custom domains protects a web application from common attacks such as phishing and other DNS-related attacks."
"Allow resource creation only in Japan data centers","/providers/Microsoft.Authorization/policyDefinitions/e01598e8-6538-41ed-95e8-8b29746cd697","Allows resource creation in the following locations only: Japan East, Japan West"
"[Preview]: Monitor OS vulnerabilities in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/e1e5fd5d-3e4c-4ce1-8661-7d1873ae6b15","Servers which do not satisfy the configured baseline will be monitored by Azure Security Center as recommendations"
"[Preview]: Audit Dependency Agent Deployment in VMSS - VM Image (OS) unlisted","/providers/Microsoft.Authorization/policyDefinitions/e2dd799a-a932-4e9d-ac17-d473bc3c6c10","Reports VMSS as non-compliant if the VM Image (OS) is not in the list defined and the agent is not installed."
"[Preview]: Audit accounts with read permissions who are not MFA enabled on a subscription","/providers/Microsoft.Authorization/policyDefinitions/e3576e28-8b17-4677-84c3-db2990658d64","Multi-Factor Authentication (MFA) should be enabled for all subscription accounts with read privileges to prevent a breach of accounts or resources."
"Allowed locations","/providers/Microsoft.Authorization/policyDefinitions/e56962a6-4747-49cd-b67b-bf8b01975c4c","This policy enables you to restrict the locations your organization can specify when deploying resources. Use to enforce your geo-compliance requirements. Excludes resource groups, Microsoft.AzureActiveDirectory/b2cDirectories, and resources that use the 'global' region."
"[Preview]: Audit Web Applications that are not using latest supported Node.js Framework","/providers/Microsoft.Authorization/policyDefinitions/e67687e8-08d5-4e7f-8226-5b4753bba008","Use the latest supported Node.js version for the latest security classes. Using older classes and types can make your application vulnerable."
"Allowed locations for resource groups","/providers/Microsoft.Authorization/policyDefinitions/e765b5de-1225-4ba3-bd56-1ac6695af988","This policy enables you to restrict the locations your organization can create resource groups in. Use to enforce your geo-compliance requirements."
"[Preview]: Audit Web Sockets state for a Web Application","/providers/Microsoft.Authorization/policyDefinitions/e797f851-8be7-4c40-bb56-2e3395215b0e","The Web Sockets protocol is vulnerable to different types of security threats. Use of Web Sockets within a web application must be carefully reviewed."
"[Preview]: Audit remote debugging state for an API App","/providers/Microsoft.Authorization/policyDefinitions/e9c8d085-d9cc-4b17-9cdc-059f1f01f19e","Remote debugging requires inbound ports to be opened on an API app.  Remote debugging should be turned off."
"[Preview]: Audit deprecated accounts with owner permissions on a subscription","/providers/Microsoft.Authorization/policyDefinitions/ebb62a0c-3560-49e1-89ed-27e074e9f8ad","Deprecated accounts with owner permissions should be removed from your subscription.  Deprecated accounts are accounts that have been blocked from signing in."
"[Preview]: Deploy VM extension to audit Linux VM allowing remote connections from accounts with no passwords","/providers/Microsoft.Authorization/policyDefinitions/ec49586f-4939-402d-a29e-6ff502b20592","Include this rule to deploy the VM extensions for Microsoft Guest Configuration and Microsoft Azure Managed Service Identity, and required content to check settings inside the virtual machine. For Linux servers this includes Chef Inspec, Ruby, and Python. This security setting verifies remote connections from accounts with empty passwords is disabled."
"[Preview]: Deploy VM extension to audit that an application is not installed inside Windows VMs","/providers/Microsoft.Authorization/policyDefinitions/f0633351-c7b2-41ff-9981-508fc08553c2","Include this rule to deploy the VM extension for Microsoft Guest Configuration, the VM extension for Microsoft Azure Managed Service Identity, and the content required to audit that an application is not installed inside Windows virtual machines. This policy should only be used along with its corresponding audit policy in an initiative/policy set. For more information on guest configuration policies, please visit http://aka.ms/gcpol"
"[Preview]: Deploy VM extension to audit Linux VM passwd file permissions","/providers/Microsoft.Authorization/policyDefinitions/f19aa1c1-6b91-4c27-ae6a-970279f03db9","Include this rule to deploy the VM extensions for Microsoft Guest Configuration, Microsoft Azure Managed Service Identity, and required content to check settings inside the virtual machine. For Linux servers this includes Chef Inspec, Ruby, and Python. This security setting verifies /etc/passwd file permissions are set to 0644 to prevent unauthorized changes that could allow access to the server."
"[Preview]: Audit Log Analytics Workspace for VM - Report Mismatch","/providers/Microsoft.Authorization/policyDefinitions/f47b5582-33ec-4c5c-87c0-b010a6b2e917","Reports VMs as non-compliant if they not logging to the LA workspace specified in the policy/initiative assignment."
"Audit existence of authorization rules on Event Hub entities","/providers/Microsoft.Authorization/policyDefinitions/f4826e5f-6a27-407c-ae3e-9582eb39891d","Audit existence of authorization rules on Event Hub entities to grant least-privileged access"
"[Preview]: Audit Windows VM enforces password complexity requirements","/providers/Microsoft.Authorization/policyDefinitions/f48b2913-1dc5-4834-8c72-ccc1dfd819bb","If this policy is enabled, passwords must meet minimum requirements.  See documentation for full details at URL http://aka.ms/gcpol."
"Deploy Auditing on SQL servers","/providers/Microsoft.Authorization/policyDefinitions/f4c68484-132f-41f9-9b6d-3e4b1cb55036","This policy ensures that Auditing is enabled on SQL Servers for enhanced security and compliance. It will automatically create a storage account in the same region as the SQL server to store audit records."
"[Preview]: Audit external accounts with owner permissions on a subscription","/providers/Microsoft.Authorization/policyDefinitions/f8456c1c-aa66-4dfb-861a-25d127b775c9","External accounts with owner permissions should be removed from your subscription in order to prevent unmonitored access."
"Audit enabling of diagnostic logs in Service Bus","/providers/Microsoft.Authorization/policyDefinitions/f8d36e2f-389b-4ee4-898d-21aeb69a0f45","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"Audit enabling of diagnostic logs in Azure Stream Analytics","/providers/Microsoft.Authorization/policyDefinitions/f9be5368-9bf5-4b84-9e0a-7850da98bb46","Audit enabling of logs and retain them up to a year. This enables you to recreate activity trails for investigation purposes when a security incident occurs or your network is compromised"
"[Preview]: Audit that an application is installed inside Linux VMs","/providers/Microsoft.Authorization/policyDefinitions/fee5cb2b-9d9b-410e-afe3-2902d90d0004","This policy audits that the specified application is installed inside Linux virtual machines. This policy should only be used along with its corresponding deploy policy in an initiative/policy set. For more information on guest configuration policies, please visit http://aka.ms/gcpol"
"[Preview]: Monitor SQL vulnerability assessment results in Azure Security Center","/providers/Microsoft.Authorization/policyDefinitions/feedbf84-6b99-488c-acc2-71c829aa5ffc","Monitor Vulnerability Assessment scan results and recommendations for how to remediate database vulnerabilities."
,"/subscriptions/8e2b803f-ef35-4093-97e0-b190a9680de3/providers/Microsoft.Authorization/policyDefinitions/hdcs-restrict-os-types-test-sid","HDCS restricts OS types to be provisioned"
,"/subscriptions/8e2b803f-ef35-4093-97e0-b190a9680de3/providers/Microsoft.Authorization/policyDefinitions/hdcs-restrict-vm-sizes-test-sid","HDCS restricts VM size to be provisioned"
